Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
38343,UCBPlayer,128,283,411,25,38,UCBPlayer
38344,UCBPlayer,111,186,297,10,71,UCBPlayer
38345,UCBPlayer,124,299,423,25,34,UCBPlayer
38346,UCBPlayer,115,170,285,10,75,UCBPlayer
38347,UCBPlayer,120,315,435,25,30,UCBPlayer
38348,UCBPlayer,119,154,273,10,79,UCBPlayer
38349,UCBPlayer,112,332,444,25,27,UCBPlayer
38350,UCBPlayer,127,137,264,10,82,UCBPlayer
38351,UCBPlayer,104,349,453,25,24,UCBPlayer
38352,UCBPlayer,126,126,252,7,85,Tie
38353,UCBPlayer,111,351,462,28,22,UCBPlayer
38354,UCBPlayer,116,126,242,3,87,UCBPlayer
38355,UCBPlayer,122,347,469,32,21,UCBPlayer
38356,UCBPlayer,107,132,239,0,87,UCBPlayer
38357,UCBPlayer,132,337,469,35,22,UCBPlayer
38358,UCBPlayer,103,148,251,0,83,UCBPlayer
38359,UCBPlayer,136,321,457,35,26,UCBPlayer
38360,UCBPlayer,99,164,263,0,79,UCBPlayer
38361,UCBPlayer,140,305,445,35,30,UCBPlayer
38362,UCBPlayer,95,180,275,0,75,UCBPlayer
38363,UCBPlayer,144,289,433,35,34,UCBPlayer
38364,UCBPlayer,91,196,287,0,71,UCBPlayer
38365,UCBPlayer,148,273,421,35,38,UCBPlayer
38366,UCBPlayer,87,212,299,0,67,UCBPlayer
38367,UCBPlayer,152,257,409,35,42,UCBPlayer
38368,UCBPlayer,84,224,308,0,64,UCBPlayer
38369,UCBPlayer,146,251,397,32,45,UCBPlayer
38370,UCBPlayer,89,234,323,3,60,UCBPlayer
38371,UCBPlayer,138,243,381,28,49,UCBPlayer
38372,UCBPlayer,97,242,339,7,56,UCBPlayer
38373,UCBPlayer,130,235,365,24,53,UCBPlayer
38374,UCBPlayer,105,250,355,11,52,UCBPlayer
38375,UCBPlayer,122,227,349,20,57,UCBPlayer
38376,UCBPlayer,109,259,368,15,49,UCBPlayer
38377,UCBPlayer,118,218,336,16,60,UCBPlayer
38378,UCBPlayer,117,267,384,19,45,UCBPlayer
38379,UCBPlayer,110,210,320,12,64,UCBPlayer
38380,UCBPlayer,126,271,397,23,42,UCBPlayer
38381,UCBPlayer,105,210,315,10,65,UCBPlayer
38382,UCBPlayer,130,275,405,25,40,UCBPlayer
38383,UCBPlayer,105,210,315,10,65,UCBPlayer
38384,UCBPlayer,130,275,405,25,40,UCBPlayer
38385,UCBPlayer,106,206,312,10,66,UCBPlayer
38386,UCBPlayer,130,275,405,25,40,UCBPlayer
38387,UCBPlayer,105,210,315,10,65,UCBPlayer
38388,UCBPlayer,131,271,402,25,41,UCBPlayer
38389,UCBPlayer,105,210,315,10,65,UCBPlayer
